,id,time,CurX,CurY,CurV,CurRoll,CurPitch,CurAccX,CurAccY,CurAccZ,CurGyroX,CurGyroY,CurGyroZ,Pitch,Roll,abnormal_label
85,86,2023-11-8 13:03,17.1632,1.82013,-0.008796,0.72339,-0.844036,0.829972053,0.83614882,1.842104886,0.350962,0.39674,0.038148,-0.778068428,0.893324541,2
86,87,2023-11-8 13:03,17.1632,1.82013,-0.008246,0.731819,-0.850514,0.588592743,0.594769509,1.600725576,0.289925,0.427259,0.015259,-0.742088385,0.852014736,2
87,88,2023-11-8 13:03,17.1631,1.82013,-0.007147,0.730488,-0.857835,0.347213432,0.353390199,1.359346266,0.320444,0.434888,0,-0.706108342,0.81070493,2
88,89,2023-11-8 13:03,17.163,1.82013,-0.006597,0.722224,-0.864014,0.105834122,0.112010889,1.117966955,0.335703,0.411999,-0.015259,-0.670128299,0.769395125,2
89,90,2023-11-8 13:03,17.163,1.82013,-0.005497,0.71575,-0.872655,-0.135545189,-0.129368422,0.876587645,0.366222,0.366222,-0.015259,-0.634148256,0.72808532,2
90,290,2023-11-8 13:04,17.8732,5.46021,0,0.50195,-0.217288,-0.376924499,-0.370747732,0.635208334,0.350962,0.350962,-0.007629,-0.598168213,0.686775514,2
91,291,2023-11-8 13:04,17.8732,5.46021,0,0.501763,-0.217259,-0.618303809,-0.612127043,0.393829024,0.40437,0.343333,-0.045777,-0.56218817,0.645465709,2
92,292,2023-11-8 13:04,17.8732,5.46021,0,0.503679,-0.218406,-0.85968312,-0.853506353,0.152449714,0.411999,0.343333,-0.061037,-0.526208128,0.604155903,2
93,293,2023-11-8 13:04,17.8732,5.46021,0,0.503291,-0.217844,-1.10106243,-1.094885663,-0.088929597,0.366222,0.335703,-0.045777,-0.490228085,0.562846098,2
94,294,2023-11-8 13:04,17.8732,5.46021,0,0.499177,-0.217585,-1.34244174,-1.336264974,-0.330308907,0.297555,0.335703,-0.007629,-0.454248042,0.521536293,2
95,295,2023-11-8 13:04,17.8732,5.46021,0,0.498704,-0.21958,-1.583821051,-1.577644284,-0.571688217,0.244148,0.350962,0.022888,-0.418267999,0.480226487,2
96,296,2023-11-8 13:04,17.8732,5.46021,0,0.498606,-0.222108,-1.825200361,-1.819023594,-0.813067528,0.228888,0.38911,0.045777,-0.382287956,0.438916682,2
97,297,2023-11-8 13:04,17.8732,5.46021,0,0.496799,-0.222581,-2.066579671,-2.060402905,-1.054446838,0.259407,0.38911,0.045777,-0.346307913,0.397606877,2
98,298,2023-11-8 13:04,17.8732,5.4602,-0.001099,0.501635,-0.222745,-2.307958982,-2.301782215,-1.295826148,0.289925,0.373851,0.045777,-0.31032787,0.356297071,2
99,299,2023-11-8 13:04,17.8732,5.46018,-0.002199,0.509453,-0.221107,-2.549338292,-2.543161525,-1.537205459,0.343333,0.343333,0.038148,-0.274347827,0.314987266,2
100,300,2023-11-8 13:04,17.8732,5.46016,-0.002199,0.521751,-0.219534,-2.790717602,-2.784540836,-1.778584769,0.381481,0.343333,0.007629,-0.238367784,0.273677461,2
101,301,2023-11-8 13:04,17.8732,5.46011,-0.004948,0.539704,-0.216218,-3.032096913,-3.025920146,-2.019964079,0.38911,0.358592,-0.022888,-0.202387741,0.232367655,2
102,302,2023-11-8 13:04,17.8732,5.46003,-0.007696,0.564414,-0.213966,-3.273476223,-3.267299456,-2.26134339,0.373851,0.38911,-0.030518,-0.166407698,0.19105785,2
103,303,2023-11-8 13:04,17.8732,5.45994,-0.009346,0.597693,-0.217543,-3.514855533,-3.508678767,-2.5027227,0.343333,0.40437,0.007629,-0.130427656,0.149748044,2
104,304,2023-11-8 13:04,17.8732,5.45981,-0.012644,0.634611,-0.219519,-0.058227,-0.002563,0.995361,0.328073,0.411999,0.061037,0.634611,-0.219519,0
105,305,2023-11-8 13:04,17.8732,5.45967,-0.014294,0.688863,-0.218083,-0.081298,-0.007324,0.994628,0.328073,0.411999,0.099185,0.688863,-0.218083,0
106,306,2023-11-8 13:04,17.8732,5.4595,-0.017043,0.768328,-0.222226,-0.091552,-0.005126,0.997558,0.320444,0.39674,0.061037,0.768328,-0.222226,0
